religia_v1;religijność_v2;praktyki_rel_v3;rel_a_edu_v4;rel_a_zaw_v5;rel_a_stud_v6;Zdrowie_v7;Rodzina_v8;Pieniądze_v9;Stabilność_fin_v10;Rozw_v11;Wiara_v12;Wiara_pomaga_v13;Wiara_a_ plany_v14;Wiara_a_stres_v15;Wiara_a_edukacja_v16;Tożsamość_narodowa_v17;Dieta_v18;Ubiór_v19;Rozrywka_v20;Wpływ_wiary_Index;Presja_społeczna_v21;Presja_rodziny_v22;Pozytywnie_v23;Utożsamienie_v24;Obecność_religii_v25;Szkoła_v26;Wigilia_v27;Krzyż_v28;Dyskryminacja_v29;Katolicy_dyskryminacja_v30;Wybór_kierunku_v31;Wiara_a_nauka_v32;Zmiana_wiary_v33;Presja_praktykowania_v34;Presja_ograniczenie_v35;Zmiana_postaw_v36;Oczekiwania_społeczne_v37;Matka_v38;Ojciec_v39;Rozumienie_religijności_v40;Płeć;Rok_urodzenia;Wiek;Miejsce_zamieszkania;Rok_studiów
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;absolutnienie;są przydatne tylko w zagadnieniach teologicznych;Tak;Zgadzam się;Nie mam zdania;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej tak;Zdecydowanie negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;4;1;Zdecydowanie nie;Zdecydowanie nie;jest odpowiednikiem racjonalizmu;Mężczyzna;2002;23;Miasto powyżej 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;NIE;NIE;Nie;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Rzadko;Nie;1;1;Zdecydowanie nie;Zdecydowanie nie;;Kobieta;2002;23;Miasto powyżej 500 tys.;III rok
Ateizm;Raczej nie;W ogóle nie uczestniczę;Zdecydowanie nie, ponieważ jest to sprawa indywidualna i religia nie powinna mieć wpływu na edukację;Jestem ateistą, stąd też nie mam żadnych wartości religijnych przydatnych w zawodzie;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Raczej negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;3;1;Raczej tak;Raczej nie;Wiarą w konkretnego Boga i przestrzeganie zasad, jakimi kieruje dana wiara;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;nie powinna mieć wcale ;niekoniecznie;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Trudno powiedzieć;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej nie;dla mnie niczym specjalnym, dopóki ktoś nie usprawiedliwia krzywdzenia innych swoim wyznaniem nie interesuje mnie kto co praktykuje;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Zdecydowanie nie;nie pracuję;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Zdecydowanie nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Nie;Nie;2;1;Raczej nie;Trudno powiedzieć;;Kobieta;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie nie;Rzadziej niż raz w miesiącu;nie!;tak, bo jednak są one dość mocno związane z wartosciami powszechnie uważanymi za ważne jak np. szacunek do bliźniego, nie kradnij... tego typu sprawy ;Nie;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;2.5;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie pozytywnie;Zdecydowanie nie;Zdecydowanie nie;Nigdy;Raczej zgodne;Pozostała bez zmian;Nie;Nie;1;1;Zdecydowanie nie;Zdecydowanie nie;wiara w zasady i wartosci ktore wynikają z katolickiej nauki społecznej jak terlikowski opowiadal;gender fluid;2001;24;Miasto do 50 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie tak;Kilka razy w miesiącu;Nie;Nie, nie wiem w jaki sposób miałyby być;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Raczej się nie zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;4.0625;Raczej się nie zgadzam;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej źle;Raczej tak;Zdecydowanie tak;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;2;3;Zdecydowanie tak;Raczej tak;Wiarą w coś większego;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Nie mam zdania;Rzadziej niż raz w miesiącu;Nie;Nie;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;2.5;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej się nie zgadzam;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;1;1;Zdecydowanie tak;Zdecydowanie tak;;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Raczej nie;Rzadziej niż raz w miesiącu;Nie uważam tak.;Nie, bo nie pracuje.;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Zgadzam się;Raczej się nie zgadzam;Raczej źle;Raczej tak;Raczej nie;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Tak, czasami;Nie;2;3;Raczej tak;Raczej tak;Religijność jest dla mnie nie wiem czym, ciężko mi to ocenić.;Mężczyzna;2002;23;Wieś;III rok
Kościół rzymskokatolicki;Raczej tak;Raz w tygodniu;tak;nie;Tak;Nie mam zdania;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;4.6875;Raczej się nie zgadzam;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Trudno powiedzieć;Raczej tak;Raczej tak;Raczej pozytywnie;Trudno powiedzieć;Trudno powiedzieć;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;1;2;Zdecydowanie tak;Zdecydowanie nie;jest to wiara w istnienie jakiejś idei postępowanie zgodnie z pewnymi ideami;Mężczyzna;2001;24;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Uważam, że nie powinna mieć żadnego wpływu.;Nie, według mnie nie posiadanie odpowiednich wartości przydatnych w pracy zawodowej nie jest zależne od religii.;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie mam zdania;Nie zgadzam się;Raczej się nie zgadzam;Nie mam zdania;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Zdecydowanie negatywnie;Raczej tak;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;2;1;Raczej nie;Raczej nie;wiara w coś co daje oparcie, oraz praktykowanie rytuałów danej religii;Kobieta;2003;22;Miasto od 50 tys. do 150 tys.;III rok
Kościół rzymskokatolicki;Raczej tak;Raz w tygodniu;Nie powinna mieć żadnego;Nie są ani przydatne ani nie. W pracy zawodowej przydatne są kompetencje i umiejętności, nie same wartości religijne.;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;3.4375;Nie mam zdania;Raczej się nie zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej źle;Zdecydowanie tak;Raczej tak;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Rzadko;Nie;1;1;Zdecydowanie tak;Zdecydowanie tak;Religijność to dla mnie dostrzeganie obecności Boga w życiu codziennym, poświęcanie czasu na budowanie relacji z Nim, ale również rozważanie nauki, poddawanie krytycznemu myśleniu i życie ze świadomością istnienia Boga.;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Nie powinna mieć żadnego wpływu na edukację, która powinna być oparta na faktach i wydarzeniach historycznych, a nie wyznaniach i wierze.;Nie posiadam wartości religijnych jako osoba ateistyczna, jednakże wartości przejawiane przez społeczeństwo polskie jest ściśle powiązane z wiarą chrześcijańską tym samym, jednostki posiadają wartości, które są podstawą w religii chrześcijańskiej, które okazują się przydatne w miejscach pracy.;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej źle;Zdecydowanie tak;Raczej nie;Raczej negatywnie;Raczej nie;Zdecydowanie nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej tak;Religijność jest dla mnie ideą, która powstała, aby ludzie mogli powierzyć swoje problemy bytowi, który jest istotą wyższą, istotą, której działanie i słowo jest prawem i wszystkie niepowodzenia oraz powodzenia są przewidziane z góry, a nie konsekwencją własnych czynów.;Kobieta;2001;24;Wieś;III rok
Kościół rzymskokatolicki;Zdecydowanie nie;W ogóle nie uczestniczę;Zdecydowanie nie ;Zdecydowanie nie ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Zgadzam się;Raczej się zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej nie;Trudno powiedzieć;Raczej tak;Raczej nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Tak, czasami;Nie;2;1;Zdecydowanie tak;Trudno powiedzieć;Nadzieją;Kobieta;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Buddyzm;Raczej nie;W ogóle nie uczestniczę;Nie;Nie, wręcz szkodzą. Ponieważ mogą prowadzić do kłótni w gronie pracowników;Nie;Raczej się nie zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Nie mam zdania;Nie mam zdania;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej nie;Ludzi o słabej psychice uciekają w to żeby nie bać się śmierci ;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Nie mam zdania;Rzadziej niż raz w miesiącu;Nie;Raczej nie ma znaczenia ;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;3.125;Raczej się nie zgadzam;Raczej się nie zgadzam;Nie mam zdania;Nie mam zdania;Zdecydowanie źle;Raczej tak;Raczej tak;Trudno powiedzieć;Zdecydowanie tak;Zdecydowanie tak;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;3;3;Zdecydowanie tak;Raczej tak;Obojętnie ;Kobieta;2000;25;Wieś;IV - jednolite studia magisterskie lub I - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie nie;W ogóle nie uczestniczę;Uważam że religia jest to kwestia indywidualna i nie powinna mieć większego, o ile w ogóle mieć wpływ ma edukacje;Nie posiadam wartości związanych z religią;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Raczej negatywnie;Raczej tak;Raczej nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Raczej tak;Religijność dla mnie to sposób odbierania świata i tego co dookoła w sposób adekwatny do wyznawanej religii, nasze cechy charakteru ukształtowane przez daną religie.;Kobieta;2004;21;Miasto od 150 tys. do 500 tys.;I rok
Kościół rzymskokatolicki;Nie mam zdania;Rzadziej niż raz w miesiącu;Uważam, że wiara jest kwestią indywidualną i nie powinna mieć wpływu na edukację, bo sugeruje to w co mamy wierzyć ;Nie, wiarę traktuję jako oddzielny element i nie łącze tego z pracą zawodową. ;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Zgadzam się;Nie mam zdania;Raczej się nie zgadzam;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;2.1875;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Raczej źle;Raczej tak;Raczej tak;Trudno powiedzieć;Raczej nie;Raczej nie;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;2;2;Raczej tak;Zdecydowanie tak;Głęboką wiarą, oddaniem się swojej wierze ;Kobieta;2006;19;Miasto od 150 tys. do 500 tys.;I rok
Kościół rzymskokatolicki;Raczej tak;Raz w miesiącu;Nie;Wiara pomaga uwierzyć w swoje możliwości;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;7.5;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Raczej się zgadzam;Trudno powiedzieć;Raczej tak;Raczej tak;Raczej pozytywnie;Raczej nie;Raczej nie;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Rzadko;Rzadko;3;2;Raczej tak;Raczej tak;;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;I rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;nie powinna w ogóle mieć wpływu na edukację ;nie, jestem ateistką ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;5.625;Raczej się zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Nie mam zdania;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Zdecydowanie negatywnie;Zdecydowanie tak;Trudno powiedzieć;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Rzadko;Nie;3;1;Zdecydowanie nie;Zdecydowanie nie;;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Agnostycyzm;Raczej nie;W ogóle nie uczestniczę;Zdecydowanie nie ;Nie, sadze ze wartości religijne to podkoloryzowane wartosci etyczne;Nie;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Raczej źle;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie negatywnie;Raczej tak;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Rzadko;Nie;4;1;Raczej nie;Raczej tak;;Kobieta;2002;23;Miasto do 50 tys.;IV - jednolite studia magisterskie lub I - studia II stopnia
Agnostycyzm;Raczej nie;W ogóle nie uczestniczę;nie;mogą być jako ze religia narzuca system wartości ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Nie mam zdania;2.8125;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie mam zdania;Raczej źle;Zdecydowanie tak;Raczej tak;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Trudno powiedzieć;bezpieczny system wartości ;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Raczej tak;Raz w tygodniu;Raczej nie;Raczej nie;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;3.75;Raczej się nie zgadzam;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Trudno powiedzieć;Raczej tak;Raczej tak;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Tak, czasami;Nie;1;2;Zdecydowanie tak;Zdecydowanie tak;Wiara że coś nas czeka po śmierci ;Kobieta;2002;23;Miasto od 50 tys. do 150 tys.;I rok
Ateizm;Raczej nie;W ogóle nie uczestniczę;Nie;Nie jestem religijny ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Trudno powiedzieć;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej tak;Wiarą w swoje przekonanie o istocie nadludzkiej ;Mężczyzna;2002;23;Wieś;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Nie;Nie (nie jestem religijna);Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Raczej negatywnie;Trudno powiedzieć;Trudno powiedzieć;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Rzadko;Nie;1;1;Raczej tak;Raczej nie;Wiarą i stosowaniem się do zasad danej religii ;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Nie, mniejszy wpływ, religia w kościele ;Nie są, nie powinno mieć to w ogóle wpływu na pracę ;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej nie;Zdecydowanie negatywnie;Trudno powiedzieć;Raczej nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Zdecydowanie nie;Raczej nie;Dobrowolnym wyborem każdego człowieka ;Kobieta;2001;24;Miasto od 150 tys. do 500 tys.;IV - jednolite studia magisterskie lub I - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie tak;Codziennie;Tak;Tak, ponieważ Religia powiązana jest z kodeksem moralno - etycznym;Tak;Raczej się zgadzam;Zgadzam się;Raczej się nie zgadzam;Nie mam zdania;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;10;Nie zgadzam się;Nie zgadzam się;Zgadzam się;Zgadzam się;Raczej dobrze;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie pozytywnie;Raczej nie;Raczej nie;Tak, zawsze;Raczej zgodne;Tak, nie zmieniłem/zmieniłam wyznania ale moja wiara stała się silniejsza;Nie;Nie;2;2;Zdecydowanie tak;Zdecydowanie tak;Wiarą w Boga i Świętych, którzy umacniają moje życie 😇;Mężczyzna;1999;26;Miasto do 50 tys.;IV - jednolite studia magisterskie lub I - studia II stopnia
