religia_v1;religijność_v2;praktyki_rel_v3;rel_a_edu_v4;rel_a_zaw_v5;rel_a_stud_v6;Zdrowie_v7;Rodzina_v8;Pieniądze_v9;Stabilność_fin_v10;Rozw_v11;Wiara_v12;Wiara_pomaga_v13;Wiara_a_ plany_v14;Wiara_a_stres_v15;Wiara_a_edukacja_v16;Tożsamość_narodowa_v17;Dieta_v18;Ubiór_v19;Rozrywka_v20;Wpływ_wiary_Index;Presja_społeczna_v21;Presja_rodziny_v22;Pozytywnie_v23;Utożsamienie_v24;Obecność_religii_v25;Szkoła_v26;Wigilia_v27;Krzyż_v28;Dyskryminacja_v29;Katolicy_dyskryminacja_v30;Wybór_kierunku_v31;Wiara_a_nauka_v32;Zmiana_wiary_v33;Presja_praktykowania_v34;Presja_ograniczenie_v35;Zmiana_postaw_v36;Oczekiwania_społeczne_v37;Matka_v38;Ojciec_v39;Rozumienie_religijności_v40;Płeć;Rok_urodzenia;Wiek;Miejsce_zamieszkania;Rok_studiów
Islam;Raczej nie;W ogóle nie uczestniczę;Nie;Tak, uczciwość itp.;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się zgadzam;Zgadzam się;Nie zgadzam się;Nie mam zdania;4.6875;Raczej się nie zgadzam;Nie mam zdania;Zgadzam się;Nie mam zdania;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Trudno powiedzieć;Raczej nie;Zdecydowanie nie;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Rzadko;Nie;2;2;Raczej nie;Raczej nie;Culture;Mężczyzna;2001;24;Miasto od 150 tys. do 500 tys.;II rok
Ateizm;Raczej nie;W ogóle nie uczestniczę;nie, wręcz przeciwnie ;raczej nie? uznaje, że moja „wiara” to bardziej moje własne wartości oraz zasady na których się wychowałam ;Tak;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;0.625;Raczej się nie zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Raczej nie;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Tak, często;4;4;Raczej nie;Zdecydowanie nie;na pewno może łączyć się ze spokojem ducha i możliwością zrozumienia siebie jako człowieka w świecie. osobiście uważam, że jedyne co mi zostało z mojej wiary to ukojenie w przekonaniu, że gdy umrę to nie będę po prostu ciałem w ziemi, że istnieje życie pośmiertne;Kobieta;2002;23;Wieś;IV - jednolite studia magisterskie lub I - studia II stopnia
Agnostycyzm;Raczej nie;W ogóle nie uczestniczę;nie, poniewaz jest to kwestia indywidualnej potrzeby wiary w cos.;nie sa one istotne, zwykly poziom akceptacji roznic pomiedzy ludzmi jest o wiele wazniejszy niz np poglady na swiat uwarunkowane religijnoscia (normy spoleczne>normy relgijne);Nie;Zgadzam się;Raczej się nie zgadzam;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Zdecydowanie negatywnie;Raczej nie;Zdecydowanie nie;Nigdy;Zdecydowanie zgodne;Pozostała bez zmian;Rzadko;Nie;2;2;Zdecydowanie nie;Raczej tak;Osobista potrzeba dodatkowej warstwy torzamosci by jednoczesnie czuc przynaleznosc do innych jak i poczucie wiekszego spelnienia z samym soba.;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;I rok
Kościół rzymskokatolicki;Nie mam zdania;Raz w miesiącu;Nie, są to dwa obszary, które powinny działać osobno ;Nie, pracuję w miejscu na które religia nie ma wpływu ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;3.75;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Raczej się zgadzam;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Raczej tak;Religijność, moim zdaniem, to umiejętność przekazywania wartości związanych z religią. ;Kobieta;2002;23;Wieś;IV - jednolite studia magisterskie lub I - studia II stopnia
Kościół rzymskokatolicki;Raczej nie;W ogóle nie uczestniczę;Nie;Raczej nie. Nigdy nie myślę o religii podejmując jakiekolwiek decyzje czy to w pracy czy poza nią, nie kieruję się nią. ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Zgadzam się;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej nie;Trudno powiedzieć;Raczej tak;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Trudno powiedzieć;;Kobieta;2004;21;Miasto do 50 tys.;II rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Nie ;Nie ;Nie;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Trudno powiedzieć;Zdecydowanie tak;Trudno powiedzieć;Raczej pozytywnie;Trudno powiedzieć;Trudno powiedzieć;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Zdecydowanie tak;Zdecydowanie nie;Wiara w wyższy byt;Mężczyzna;2001;24;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Zdecydowanie nie;Ateizm wymaga kierowania się dowodami, argumentami naukowymi, więc takie wartości pomagają w pracy zawodowej ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Zdecydowanie nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej tak;;Kobieta;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Nie należę do żadnego kościoła, uważam, że instytucje religijne przyniosły ludziom więdzej złego niż dobrego, ale wierzę w chrześcijańskiego Boga. ;Zdecydowanie tak;Codziennie;Nie, Polska jest krajem świeckim i żadna religia nie powinna mieć wpływu na edukację w szkołach;Tak, życzliwość i bezinteresowność wpływa na pozytywne relacje ze współpracownikami.  ;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;2.8125;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć;Raczej tak;Zdecydowanie nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Raczej tak;;Mężczyzna;2000;25;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie tak;Codziennie;Nie mam zdania na ten temat;Nie są, ponieważ aktualnie nie pracuję;Tak;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej się nie zgadzam;5.625;Nie mam zdania;Nie zgadzam się;Nie mam zdania;Raczej się zgadzam;Trudno powiedzieć;Trudno powiedzieć;Trudno powiedzieć;Zdecydowanie pozytywnie;Raczej nie;Raczej tak;Rzadko;Raczej zgodne;Tak, nie zmieniłem/zmieniłam wyznania ale moja wiara stała się silniejsza;Nie;Rzadko;2;1;Zdecydowanie tak;Trudno powiedzieć;Religijność jest dla mnie przede wszystkim budowaniem relacji z Bogiem. Relacji, która opiera się na powierzeniu Mu swojego życia i spraw codzienny oraz ciągłym doskonaleniu siebie samego, doskonaleniu relacji z Nim poprzez poznawanie Go przez modlitwę, rozważanie Jego Słowa. ;Mężczyzna;2004;21;Miasto od 50 tys. do 150 tys.;II rok
Kościół rzymskokatolicki;Raczej nie;Rzadziej niż raz w miesiącu;Nie;Nie ;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;1.5625;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się nie zgadzam;Trudno powiedzieć;Zdecydowanie tak;Raczej tak;Raczej pozytywnie;Trudno powiedzieć;Raczej nie;Nigdy;Raczej sprzeczne;Tak, zmieniłem/zmieniłam wyznanie i moja wiara stała się słabsza;Tak, często;Rzadko;3;3;Zdecydowanie tak;Raczej tak;;Kobieta;2003;22;Wieś;III rok
Kościół rzymskokatolicki;Zdecydowanie nie;W ogóle nie uczestniczę;Nie;Nie;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0.3125;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Trudno powiedzieć;Zdecydowanie tak;Trudno powiedzieć;Raczej pozytywnie;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Trudno powiedzieć;Trudno powiedzieć;;Kobieta;1999;26;Miasto od 150 tys. do 500 tys.;IV - jednolite studia magisterskie lub I - studia II stopnia
Kościół rzymskokatolicki;Raczej tak;Raz w tygodniu;Tak ;Tak ;Tak;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;5.9375;Raczej się nie zgadzam;Nie zgadzam się;Zgadzam się;Nie mam zdania;Raczej dobrze;Trudno powiedzieć;Raczej tak;Zdecydowanie pozytywnie;Trudno powiedzieć;Raczej tak;Nigdy;Raczej zgodne;Tak, nie zmieniłem/zmieniłam wyznania ale moja wiara stała się silniejsza;Nie;Nie;1;1;Raczej tak;Zdecydowanie tak;;Kobieta;2003;22;Miasto od 150 tys. do 500 tys.;I rok
Kościół rzymskokatolicki;Raczej nie;W ogóle nie uczestniczę;Nie;Nie ma to żadnego wpływu;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;0.9375;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej źle;Trudno powiedzieć;Raczej tak;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Raczej sprzeczne;Tak, zmieniłem/zmieniłam wyznanie i moja wiara stała się słabsza;Nie;Nie;1;1;Raczej tak;Trudno powiedzieć;;Kobieta;2004;21;Miasto do 50 tys.;II rok
Kościół rzymskokatolicki;Nie mam zdania;Rzadziej niż raz w miesiącu;nie;nie, religia to powinna być prywatna kwestia;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;4.375;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej dobrze;Raczej tak;Trudno powiedzieć;Raczej pozytywnie;Zdecydowanie nie;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Rzadko;Nie;3;2;Raczej tak;Raczej tak;;Kobieta;2001;24;Miasto od 50 tys. do 150 tys.;V - jednolite studia magisterskie lub II - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie tak;Raz w miesiącu;Nie, uważam że religia to kwestia bardzo prywatna i nie powinna być komuś narzucana, w szczególności dzieciom które tego jeszcze nie rozumieją. ;Nie, religia jest sprawą osobistą, a spraw osobistych nie poruszam w pracy.;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;4.0625;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie mam zdania;Trudno powiedzieć;Raczej tak;Raczej tak;Trudno powiedzieć;Raczej tak;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Zdecydowanie tak;Zdecydowanie nie;Jest dla mnie wiarą, modlitwą, dobrocią rozdawaną innym,;Kobieta;2002;23;Wieś;V - jednolite studia magisterskie lub II - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie tak;Raz w tygodniu;Nie;Nie;Nie;Zgadzam się;Zgadzam się;Raczej się nie zgadzam;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Nie mam zdania;Nie mam zdania;Raczej się nie zgadzam;Raczej się zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Raczej się nie zgadzam;4.6875;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Trudno powiedzieć;Raczej tak;Trudno powiedzieć;Raczej pozytywnie;Trudno powiedzieć;Trudno powiedzieć;Nigdy;Ani sprzeczne, ani zgodne;Tak, nie zmieniłem/zmieniłam wyznania ale moja wiara stała się słabsza;Tak, czasami;Tak, często;3;3;Zdecydowanie tak;Zdecydowanie tak;;Kobieta;2001;24;Wieś;IV - jednolite studia magisterskie lub I - studia II stopnia
Kościół rzymskokatolicki;Raczej tak;Kilka razy w miesiącu;Tak;Tak, w mojej wierze jest 10 przekazań i trzeba się nimi kierować. Myślę, że może to pomóc w pracy ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Raczej się nie zgadzam;6.875;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Zgadzam się;Trudno powiedzieć;Raczej tak;Raczej tak;Zdecydowanie pozytywnie;Trudno powiedzieć;Trudno powiedzieć;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Raczej nie;;Kobieta;2002;23;Miasto do 50 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie tak;Raz w tygodniu;Zdecydowanie tak;Raczej nie;Tak;Zgadzam się;Zgadzam się;Nie mam zdania;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Raczej się zgadzam;7.8125;Raczej się nie zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Raczej się zgadzam;Zdecydowanie źle;Trudno powiedzieć;Raczej tak;Zdecydowanie pozytywnie;Raczej nie;Raczej tak;Rzadko;Raczej sprzeczne;Pozostała bez zmian;Tak, często;Tak, czasami;3;2;Zdecydowanie tak;Raczej nie;Ścieżką postępowania ;Kobieta;2003;22;Wieś;III rok
Kościół rzymskokatolicki;Raczej tak;Rzadziej niż raz w miesiącu;Nie;Nie, religia nie powinna mieć na to wpływu ;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;1.875;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Zdecydowanie źle;Raczej tak;Raczej tak;Trudno powiedzieć;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Rzadko;Rzadko;1;1;Raczej tak;Trudno powiedzieć;Oddanie wierzę ;Kobieta;2004;21;Miasto do 50 tys.;II rok
Kościół rzymskokatolicki;Raczej tak;W ogóle nie uczestniczę;Zdecydowanie NIE;Nie, pracuje w handlu ;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;1.25;Nie zgadzam się;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Zdecydowanie pozytywnie;Raczej nie;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej tak;Raczej tak;;Kobieta;1998;27;Wieś;III rok
Kościół rzymskokatolicki;Zdecydowanie nie;W ogóle nie uczestniczę;Absolutnie nie;Nie, nie ma to żadnego wpływu i nie powinno nigdy mieć. Z religią kojarzą mi się tylko złe cechy;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej nie;Zdecydowanie negatywnie;Raczej tak;Trudno powiedzieć;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Tak, często;Nie;1;1;Zdecydowanie tak;Raczej tak;Niczym, nie wierzę w żadną religię. Tylko i wyłącznie nauka;Kobieta;2001;24;Miasto od 50 tys. do 150 tys.;II rok
Brak;Zdecydowanie nie;W ogóle nie uczestniczę;Nie;Tak, wiara może przekładać się na większą motywację do pracy.;Nie;Zgadzam się;Zgadzam się;Nie mam zdania;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Nie mam zdania;Nie mam zdania;Zdecydowanie źle;Raczej tak;Raczej tak;Zdecydowanie negatywnie;Raczej tak;Raczej nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;3;1;Zdecydowanie nie;Trudno powiedzieć;;Mężczyzna;1997;28;Miasto od 150 tys. do 500 tys.;V - jednolite studia magisterskie lub II - studia II stopnia
Kościół rzymskokatolicki;Raczej nie;Rzadziej niż raz w miesiącu;Nie;Nie;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0.625;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Raczej negatywnie;Raczej tak;Trudno powiedzieć;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej nie;;Kobieta;2000;25;Miasto do 50 tys.;V - jednolite studia magisterskie lub II - studia II stopnia
Agnostycyzm;Raczej nie;W ogóle nie uczestniczę;Nie. Zamiast religii w szkole powinna być religioznawstwo, aby zapoznać się z innymi religiami ;Nie, nie ma nic wspólnego;Nie;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0.3125;Raczej się nie zgadzam;Nie zgadzam się;Raczej się nie zgadzam;Raczej się zgadzam;Raczej źle;Zdecydowanie tak;Zdecydowanie tak;Raczej negatywnie;Raczej tak;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Nie;Nie;2;2;Zdecydowanie nie;Zdecydowanie nie;Głęboką wiarą w coś (/kogoś);Kobieta;2004;21;Miasto powyżej 500 tys.;II rok
Kościół rzymskokatolicki;Raczej nie;W ogóle nie uczestniczę;nie;nie;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie mam zdania;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;1.875;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej tak;Trudno powiedzieć;Raczej tak;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;1;1;Trudno powiedzieć;Trudno powiedzieć;czczenie boga, kult;Kobieta;2004;21;Wieś;II rok
Kościół rzymskokatolicki;Zdecydowanie tak;Kilka razy w tygodniu;NIE;Tak. Dobrze przeprowadzona formacja religijna daje wartości moralne, dzięki którym jest się w stanie efektywniej pracować i lepiej funkcjonować w społeczeństwie.;Nie chcę odpowiadać;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie mam zdania;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;5.625;Zgadzam się;Nie zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej źle;Zdecydowanie tak;Raczej tak;Raczej pozytywnie;Zdecydowanie nie;Zdecydowanie tak;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Tak, zawsze;1;1;Raczej nie;Raczej nie;Uczestniczenie w praktykach religijnych, osobista codzienna modlitwa, działania charytatywne, obrona wartości moralnych, pogłębianie wiedzy dlaczego Kościół ma taką a nie inną doktrynę, krytyka błędów instytucji Kościoła, konstruktywny dialog z władzami Kościoła;Mężczyzna;1999;26;Miasto od 50 tys. do 150 tys.;V - jednolite studia magisterskie lub II - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie tak;Codziennie;Tak;Tak;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;9.6875;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zdecydowanie dobrze;Trudno powiedzieć;Zdecydowanie tak;Zdecydowanie pozytywnie;Zdecydowanie nie;Zdecydowanie nie;Rzadko;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;3;1;Zdecydowanie nie;Zdecydowanie nie;Wiara w Boga ;Kobieta;1977;48;Miasto powyżej 500 tys.;V - jednolite studia magisterskie lub II - studia II stopnia
Kościół rzymskokatolicki;Zdecydowanie nie;Rzadziej niż raz w miesiącu;nie;nie;Tak;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Raczej się zgadzam;Raczej się zgadzam;6.5625;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Zgadzam się;Trudno powiedzieć;Zdecydowanie tak;Raczej nie;Raczej negatywnie;Raczej tak;Raczej tak;Rzadko;Raczej zgodne;Tak, nie zmieniłem/zmieniłam wyznania ale moja wiara stała się silniejsza;Tak, czasami;Tak, czasami;1;2;Raczej nie;Raczej nie;;Mężczyzna;2001;24;Wieś;V - jednolite studia magisterskie lub II - studia II stopnia
